screen_id,usability,layout_quality,visual_complexity,screen_mean
52214,2.1,1.8,4.5,2.8
17476,2.5,2.0,4.0,2.83
1165,3.2,2.5,4.1,3.27
59041,2.1,1.8,4.5,2.8
2844,2.1,1.8,4.5,2.8
26390,3.5,2.0,4.0,3.17
24971,3.2,2.5,4.1,3.27
19321,3.2,2.5,4.1,3.27
58713,3.0,2.5,4.0,3.17
16870,3.2,2.8,4.1,3.37
54764,3.5,3.0,4.0,3.5
58988,3.2,2.1,4.5,3.27
68868,2.1,1.8,4.5,2.8
46124,4.2,3.5,2.1,3.27
15815,3.2,2.8,4.1,3.37
48987,2.1,1.8,4.5,2.8
38037,2.1,1.8,4.5,2.8
12105,3.2,2.8,4.1,3.37
1197,2.1,1.5,4.8,2.8
16286,3.2,2.5,4.1,3.27
24676,2.1,1.8,4.5,2.8
2560,3.2,2.8,4.1,3.37
43510,3.2,2.5,4.1,3.27
4972,3.2,2.5,4.1,3.27
11742,3.5,3.0,4.2,3.57
47138,2.5,2.0,4.5,3.0
2336,3.2,2.5,3.8,3.17
57382,2.5,1.8,4.2,2.83
52984,4.2,3.5,3.8,3.83
56432,3.2,2.5,4.1,3.27
46098,3.2,2.1,4.5,3.27
37888,3.2,2.8,3.5,3.17
39834,3.2,2.5,4.1,3.27
48913,3.2,2.8,4.1,3.37
28655,3.2,2.1,4.5,3.27
63417,2.1,1.8,4.5,2.8
67317,3.5,4.0,1.5,3.0
10418,3.5,3.0,4.0,3.5
60148,2.5,2.0,4.5,3.0
63171,2.5,3.0,4.0,3.17
20767,3.2,2.5,4.1,3.27
56231,2.5,2.0,4.5,3.0
3808,3.5,3.0,2.5,3.0
32799,3.2,2.5,4.1,3.27
28634,3.2,2.8,4.1,3.37
20505,2.5,2.0,4.5,3.0
24466,4.2,3.8,3.1,3.7
8102,2.1,1.5,4.8,2.8
60444,3.2,2.5,4.1,3.27
32555,3.2,2.8,4.1,3.37
16853,3.2,2.8,4.1,3.37
16226,3.2,2.5,4.1,3.27
35308,2.1,1.8,4.5,2.8
16480,3.2,2.5,4.1,3.27
3400,2.5,2.0,4.5,3.0
65930,3.2,2.1,4.5,3.27
33029,2.1,1.8,4.5,2.8
49832,2.1,1.5,4.8,2.8
27726,3.2,2.8,4.1,3.37
63252,2.1,1.8,3.5,2.47
12896,3.5,3.0,4.2,3.57
58264,3.5,3.0,4.0,3.5
40482,4.5,4.0,2.0,3.5
4555,3.2,2.5,4.1,3.27
18361,3.2,2.5,4.1,3.27
911,2.5,2.0,4.5,3.0
7079,2.1,1.8,4.2,2.7
35220,3.5,2.0,4.0,3.17
15280,3.5,3.0,4.0,3.5
46547,3.1,2.4,4.2,3.23
